Cocktail Name,Ingredients,Preparation,Glassware,Bartender,Location,Image_URL,Image_Path
Cuba Libre,50 ml White Rum 120 ml Cola 10 ml Fresh Lime Juice,Build all ingredients in a highball glass filled with ice.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-cuba-libre-6695cdb0a6f80.webp,cocktail_images\cuba_libre.jpg
French 75,30 ml Gin 15 ml Fresh Lemon Juice 15 ml Sugar Syrup 60 ml Champagne,"Pour all the ingredients, except Champagne, into a shaker. Shake well and strain into a Champagne flute. Top up with Champagne. Stir gently.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-french-75-6695cdb175e06.webp,cocktail_images\french_75.jpg
French Connection,35 ml Cognac 35 ml Amaretto,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-french-connection-6695cdb3cc15f.webp,cocktail_images\french_connection.jpg
Garibaldi,45 ml Bitter Campari 120 ml Freshly Squeezed Orange Juice,Build all ingredients in a highball glass filled with ice.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-garibaldi-6695cdb4cbf81.webp,cocktail_images\garibaldi.jpg
Grasshopper,20 ml Crème de Cacao (White) 20 ml Crème de Menthe (Green) 20 ml Fresh Cream,Pour all ingredients into shaker filled with ice. Shake briskly for few seconds. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-grasshopper-6695cdb737498.webp,cocktail_images\grasshopper.jpg
Hemingway Special,60 ml Rum 40 ml Grapefruit Juice 15 ml Maraschino Luxardo 15 ml Fresh Lime,Pour all ingredients into a shaker with ice. Shake well and strain into a large cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-hemingway-special-6695cdb814e5a.webp,cocktail_images\hemingway_special.jpg
Horse’s Neck,40 ml Cognac 120 ml Ginger Ale Dash of Angostura Bitters (optional),"Pour Cognac and ginger ale directly into highball glass with ice cubes. Stir gently. If preferred, add dashes of Angostura Bitter.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-horses-neck-6695cdba5fadc.webp,cocktail_images\horse_s_neck.jpg
Irish Coffee,50 ml Irish Whiskey 120 ml Hot coffee 50 ml Fresh cream (Chilled) 1 teaspoon Sugar,Warm black coffee is poured into a preheated Irish coffee glass. Whiskey and at least one teaspoon of sugar is added and stirred until dissolved. Fresh thick chilled cream is carefully poured over the back of a spoon held just above the surface of the coffee. The layer of cream will float on the coffee without mixing. Plain sugar can be replaced with sugar syrup,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-irish-coffee-copy-6695cdbb430cd.webp,cocktail_images\irish_coffee.jpg
Kir,90 ml Dry White Wine 10 ml Crème de Cassis,"Pour Crème de Cassis into glass, top up with white wine. NOTE: Kir Royal – Use Champagne instead of white wine",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-kir-6695cdbdbb2e1.webp,cocktail_images\kir.jpg
Lemon Drop Martini,30 ml Vodka 20 ml Triple Sec 15 ml Fresh Squeezed Lemon Juice,Pour all ingredients into a shaker with ice. Shake well and strain into a chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-lemon-drop-martini-6695cdbe3eed7.webp,cocktail_images\lemon_drop_martini.jpg
Long Island Iced Tea,15 ml Vodka 15 ml Tequila 15 ml White rum 15 ml Gin 15 ml Cointreau 25 ml Lemon juice 30 ml Simple syrup Top with Cola,Add all ingredients into highball glass filled with ice. Stir gently.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-long-island-iced-tea-6695cdc10c463.webp,cocktail_images\long_island_iced_tea.jpg
